score,param_M1_W,param_M1_L,param_M3_W,param_M3_L,param_M5_W,param_M5_L,param_M6_W,param_M6_L,param_M7_W,param_M7_L,param_M8_W,param_M8_L,param_Cc,param_Rc,param_VBIAS,gain_db,gbw_mhz,phase_margin,dc_gain_db,gbw_hz
1006247.6694578126,5.974288803534035e-06,1.356744751981242e-06,5.352609290943811e-06,1.4303114294077616e-06,1.2155566520534522e-05,1.2241715961315077e-06,3.949425122433101e-05,6.780811894604388e-07,2.275378735561912e-05,6.79804963632008e-07,6.089315363568739e-06,7.644065577899861e-07,2.54970484961347e-12,815.2386353873821,0.6123687724583071,36.77914,3.752330542187412,85.04653518457931,36.77914,3752330.542187412
0.3915686608348986,1.211262402657384e-05,1.4062673281232237e-06,3.894867124833882e-06,1.3247405944232447e-06,6.186178502906782e-06,7.084840858330519e-07,2.3641339331031877e-05,4.1984436032393994e-07,2.3605278144140033e-05,1.050974693364045e-06,6.8198947182331715e-06,6.463106567262069e-07,1.4165971792003864e-12,829.4581633765213,0.6898340004372207,34.46644,7.997321566604054,73.85260235671475,34.46644,7997321.566604054
0.280004625,3.810079414870272e-05,1.0347438961045395e-06,3.537294334415816e-06,5.747682265141354e-07,5.466915430847631e-06,6.853754053881644e-07,2.5648653464183178e-05,3.6409018997164136e-07,4.193835222689233e-05,7.313442973937824e-07,9.594733753088725e-06,1.0767758313657684e-06,3.072372280312321e-12,364.16334084593154,0.7473844789051777,42.66605,12.577094593334175,73.85433038274928,42.66605,12577094.593334176
1006268.5178151405,1.3876426452733716e-05,1.6764848780087329e-06,6.358744235893931e-06,9.584624982906646e-07,8.127078769811117e-06,6.456066485028229e-07,2.1476418664056577e-05,7.632232290825873e-07,3.878391318428325e-05,1.5629063029400406e-06,3.811645287500256e-06,5.540792867072319e-07,2.7539983043103097e-12,269.6917965802931,0.45967903378946207,29.56051,3.7314821848595012,81.7029474474394,29.56051,3731482.184859501
0.43069567019973654,1.6116280172406914e-05,7.618986603661866e-07,1.4817305795717953e-05,5.892301363434557e-07,1.3689356374841652e-05,1.1588029821670294e-06,5.985541038942444e-05,4.3109002686726763e-07,4.1271477018511996e-05,9.336986678076283e-07,4.078295571538813e-06,1.6475626564462002e-06,4.9204197656687734e-12,596.9943176151685,0.6484109284288595,34.09839,6.542656192010539,86.67108514583208,34.09839,6542656.192010539
1006145.672836311,1.7763215186389557e-05,1.3949163514517105e-06,1.3496758391078657e-05,6.669154662145763e-07,5.617722377890568e-06,1.249071683179709e-06,2.486496131792455e-05,4.135984135581491e-07,2.219338514486487e-05,5.018581136344696e-07,4.129700649826045e-06,1.1388852473612324e-06,1.5980174099389836e-12,500.9191049228336,0.6827823319516133,25.87056,3.854327163688986,84.7872320728122,25.87056,3854327.163688986
0.24154125,2.1569050587517526e-05,9.382619421003542e-07,7.989763279849743e-06,1.7997818994392266e-06,1.4214387497095554e-05,1.189302748943572e-06,5.001518190951532e-05,7.587296193844885e-07,3.605696413476313e-05,1.0637246547765335e-06,5.671621512030548e-06,1.761522485190575e-06,3.7825997127794585e-12,292.8327879125584,0.46636911568828987,47.7945,13.795716855660181,66.01000785612791,47.7945,13795716.855660181
1006629.5827261804,9.479188338460022e-06,1.4121716350648157e-06,6.296816470566539e-06,7.459863702168627e-07,4.886292583908597e-06,1.2989590790221413e-06,5.276083400883328e-05,7.642066712758776e-07,4.002619163031856e-05,9.914352359356527e-07,2.276441200950692e-06,5.284070309993072e-07,2.0043570005795023e-12,619.01805836579,0.5001471609648016,31.0328,3.370417273819531,87.14194192511624,31.0328,3370417.273819531
1007737.907894076,6.045697332782099e-06,1.89713481577012e-06,1.0778169186358766e-05,1.109875782131935e-06,1.8476983885670626e-05,1.998814839146951e-06,5.0790658148457045e-05,4.4644252110419353e-07,2.114715149158022e-05,1.4265572649396005e-06,4.264773374110052e-06,1.2337233995171621e-06,4.3682491447034365e-12,435.9358913900637,0.6341318501111418,44.14772,2.2620921059240207,84.4634542027852,44.14772,2262092.1059240205
0.21410137499999998,1.871706413004996e-05,9.885950613067055e-07,2.403658088804258e-06,8.099597447992349e-07,6.839629246361063e-06,1.2659908863074054e-06,6.568054912144232e-05,4.684619093972008e-07,5.2319449026506e-05,7.455802713381656e-07,9.155707888252136e-06,1.5444916480144643e-06,2.4238237083420484e-12,791.2736811822483,0.5258068628680672,51.45315,15.020001835287857,83.39704791703336,51.45315,15020001.835287858
0.28177490624267887,9.792990287443287e-06,1.9190196092747733e-06,4.515521679102439e-06,1.0204408117261704e-06,1.9621205357527337e-05,1.244288281180666e-06,4.243301495281013e-05,5.007391952489354e-07,2.593975912345773e-05,8.256250897513357e-07,6.757111266598397e-06,1.1898811546222618e-06,3.3978999595206427e-12,464.62570985535604,0.6196878556341328,56.58739,5.752786750292845,80.4987570435986,56.58739,5752786.750292845
